complexity,drug_pubchem_id,exact_mass,hba,hbd,heavy_atoms,molecular_formula,mw_freebase,mw_monoisotopic,smiles,tpsa
363,3599,407.316,0,4,27,C21H46NO4P,407.576,407.316,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,58.6
692,3592,369.158,0,6,27,C21H23NO5,369.417,369.158,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,65.1
60,3562,195.89,0,3,7,C2HBrClF3,197.379,195.89,C(C(F)(F)F)(Cl)Br,0.0
451,3559,375.14,1,4,26,C21H23ClFNO2,375.868,375.14,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,40.5
421,3547,291.104,1,5,20,C14H17N3O2S,291.369,291.104,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,70.7
256,3519,245.012,2,1,15,C9H9Cl2N3O,246.091,245.012,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,81.5
167,3518,198.184,2,2,14,C10H22N4,198.314,198.184,C1CCCN(CCC1)CCN=C(N)N,67.6
442,3510,312.195,1,3,23,C18H24N4O,312.417,312.195,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,50.2
424,3494,318.207,1,3,23,C19H28NO3+,318.437,318.207,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,46.5
746,3488,493.144,3,5,33,C23H28ClN3O5S,494.003,493.144,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,122.0
895,3476,490.225,3,5,34,C24H34N4O5S,490.619,490.225,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,133.0
497,3475,323.13,2,4,22,C15H21N3O3S,323.411,323.13,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,86.9
273,3463,250.157,1,3,18,C15H22O3,250.338,250.157,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,46.5
426,3461,263.072,3,6,18,C9H11F2N3O4,263.201,263.072,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,108.0
301,3453,278.225,1,2,20,C18H30O2,278.436,278.225,CCCCCC=CCC=CCC=CCCCCC(=O)O,37.3
440,3449,287.152,1,4,21,C17H21NO3,287.359,287.152,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,41.9
162,3446,171.126,2,3,12,C9H17NO2,171.24,171.126,C1CCC(CC1)(CC(=O)O)CN,63.3
481,3440,330.008,3,7,21,C12H11ClN2O5S,330.739,330.008,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,131.0
845,3419,562.293,0,7,39,C30H45NO7P-,562.664,562.293,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3,113.0
590,3408,302.188,1,3,22,C19H26O3,302.414,302.188,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O,54.4
327,3404,318.156,1,7,22,C15H21F3N2O2,318.34,318.156,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,56.8
590,3403,411.185,3,5,30,C24H26FNO4,411.473,411.185,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,82.7
984,3399,500.184,1,9,34,C25H31F3O5S,500.573,500.184,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,106.0
352,3397,276.072,1,6,19,C11H11F3N2O3,276.215,276.072,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,74.9
653,3396,475.244,1,5,35,C29H31F2N3O,475.584,475.244,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,35.6
286,3394,244.09,1,3,18,C15H13FO2,244.265,244.09,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,37.3
540,3393,387.151,0,4,27,C21H23ClFN3O,387.883,387.151,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,35.9
630,3387,336.21,2,4,24,C20H29FO3,336.447,336.21,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F,57.5
308,3386,309.134,1,5,22,C17H18F3NO,309.332,309.134,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,21.3
199,3385,130.018,2,3,9,C4H3FN2O2,130.078,130.018,C1=C(C(=O)NC(=O)N1)F,58.2
960,3381,452.201,2,8,32,C24H30F2O6,452.495,452.201,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,93.1
519,3380,313.086,0,5,23,C16H12FN3O3,313.288,313.086,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,78.5
910,3379,434.21,2,7,31,C24H31FO6,434.504,434.21,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,93.1
487,3377,406.222,2,2,30,C26H28F2N2+2,406.521,406.222,C1C[NH+](CC[NH+]1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,8.9
544,3372,437.175,1,8,30,C22H26F3N3OS,437.525,437.175,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,55.2
346,3371,281.066,2,6,20,C14H10F3NO2,281.234,281.066,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,49.3
367,3367,285.087,4,9,20,C10H12FN5O4,285.235,285.087,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,140.0
500,3355,415.146,2,10,28,C17H21F6N2O3+,415.356,415.146,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,64.2
678,3350,372.278,2,2,27,C23H36N2O2,372.553,372.278,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,58.2
678,3348,501.288,3,5,37,C32H39NO4,501.667,501.288,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,81.0
391,3345,336.22,0,2,25,C22H28N2O,336.479,336.22,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,23.6
318,3344,260.152,1,3,19,C15H20N2O2,260.337,260.152,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3,41.6
310,3343,303.147,5,5,22,C17H21NO4,303.358,303.147,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,93.0
271,3342,242.094,1,3,18,C15H14O3,242.274,242.094,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,46.5
348,3340,306.09,4,3,21,C16H17ClNO3+,306.766,306.09,C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,77.3
458,3339,360.113,0,4,25,C20H21ClO4,360.834,360.113,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,52.6
303,3336,315.199,1,1,24,C23H25N,315.46,315.199,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,12.0
614,3333,383.069,1,5,25,C18H19Cl2NO4,384.253,383.069,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,64.6
246,3331,238.095,2,4,17,C11H14N2O4,238.243,238.095,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,105.0
469,3325,337.045,4,8,20,C8H15N7O2S3,337.435,337.045,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,238.0
568,3312,354.219,0,3,26,C23H30O3,354.49,354.219,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C,35.5
969,3310,588.184,3,13,42,C29H32O13,588.562,588.184,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,161.0
400,3308,287.152,2,3,21,C17H21NO3,287.359,287.152,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,62.3
523,3303,313.168,1,4,23,C19H23NO3,313.397,313.168,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,41.9
188,3291,141.079,1,2,10,C7H11NO2,141.17,141.079,CCC1(CC(=O)NC1=O)C,46.2
322,3290,312.166,0,3,22,C19H24N2S,312.475,312.166,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,31.8
505,3285,296.178,2,2,22,C20H24O2,296.41,296.178,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,40.5
370,3278,302.011,1,4,19,C13H12Cl2O4,303.135,302.011,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,63.6
